visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,x,y,bgra,gw_param_keys 1,gw_param_values 1,label 1,x,y,bgra,gw_param_keys 2,gw_param_values 2,label 2,x,y,bgra,gw_param_keys 3,gw_param_values 3,label 3,x,y,bgra,gw_param_keys 4,gw_param_values 4,label 4,x,y,bgra,gw_param_keys 5,gw_param_values 5,label 5,x,y,bgra,gw_param_keys 6,gw_param_values 6,label 6,x,y,bgra,gw_param_keys 7,gw_param_values 7,label 7,x,y,bgra,gw_param_keys 8,gw_param_values 8,label 8,x,y,bgra,gw_param_keys 9,gw_param_values 9,label 9,x,y,bgra,gw_param_keys 10,gw_param_values 10,label 10,x,y,bgra,gw_param_keys 11,gw_param_values 11,label 11,x,y,bgra,gw_param_keys 12,gw_param_values 12,label 12,x,y,symbol,bgra_fake,gw_param_keys 0,gw_param_values 0,label 0,gw_param_keys 0,gw_param_values 0,label 0,x,y,bgra,gw_param_keys 1,gw_param_values 1,label 1,x,y,bgra,gw_param_keys 2,gw_param_values 2,label 2,x,y,bgra,gw_param_keys 3,gw_param_values 3,label 3,x,y,bgra,gw_param_keys 4,gw_param_values 4,label 4,x,y,bgra,gw_param_keys 5,gw_param_values 5,label 5,x,y,bgra,gw_param_keys 6,gw_param_values 6,label 6,x,y,bgra,gw_param_keys 7,gw_param_values 7,label 7,x,y,bgra,gw_param_keys 8,gw_param_values 8,label 8,x,y,bgra,gw_param_keys 9,gw_param_values 9,label 9,x,y,bgra,gw_param_keys 10,gw_param_values 10,label 10,x,y,bgra,gw_param_keys 11,gw_param_values 11,label 11,x,y,bgra,gw_param_keys 12,gw_param_values 12,label 12,x,y,symbol,bgra_fake
xlabel,X-Axis Label,1.0,0.0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Area Plot,area_heatmap,0.5,3.5,254.0,plot_type,Area Plot,area_heatmap,3.5,3.5,199.0,plot_type,Area Plot,area_heatmap,2.5,3.5,115.0,plot_type,Area Plot,area_heatmap,1.5,3.5,251.0,plot_type,Area Plot,area_heatmap,3.5,2.5,180.0,plot_type,Area Plot,area_heatmap,2.5,2.5,245.0,plot_type,Area Plot,area_heatmap,0.5,2.5,107.0,plot_type,Area Plot,area_heatmap,1.5,2.5,149.0,plot_type,Area Plot,area_heatmap,1.5,1.5,184.0,plot_type,Area Plot,area_heatmap,0.5,1.5,199.0,plot_type,Area Plot,area_heatmap,2.5,1.5,245.0,plot_type,Area Plot,area_heatmap,3.5,1.5,224.0,plot_type,Scatter Plot,scatter_heatmap,1.0,1.0,0.3745401188473625,NONE_STR,plot_type,Heatmap,heatmap,plot_type,Area Plot,area_heatmap,0.5,3.5,254.0,plot_type,Area Plot,area_heatmap,3.5,3.5,199.0,plot_type,Area Plot,area_heatmap,2.5,3.5,115.0,plot_type,Area Plot,area_heatmap,1.5,3.5,251.0,plot_type,Area Plot,area_heatmap,3.5,2.5,180.0,plot_type,Area Plot,area_heatmap,2.5,2.5,245.0,plot_type,Area Plot,area_heatmap,0.5,2.5,107.0,plot_type,Area Plot,area_heatmap,1.5,2.5,149.0,plot_type,Area Plot,area_heatmap,1.5,1.5,184.0,plot_type,Area Plot,area_heatmap,0.5,1.5,199.0,plot_type,Area Plot,area_heatmap,2.5,1.5,245.0,plot_type,Area Plot,area_heatmap,3.5,1.5,224.0,plot_type,Scatter Plot,scatter_heatmap,1.0,1.0,0.3745401188473625,NONE_STR
xrot,0,2.0,1.0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Simple Area,NONE_STR,1.5,3.5,248.0,plot_style_type,Simple Area,NONE_STR,4.5,3.5,147.0,plot_style_type,Simple Area,NONE_STR,3.5,3.5,53.0,plot_style_type,Simple Area,NONE_STR,2.5,3.5,243.0,plot_style_type,Simple Area,NONE_STR,4.5,2.5,111.0,plot_style_type,Simple Area,NONE_STR,3.5,2.5,230.0,plot_style_type,Simple Area,NONE_STR,1.5,2.5,48.0,plot_style_type,Simple Area,NONE_STR,2.5,2.5,76.0,plot_style_type,Simple Area,NONE_STR,2.5,1.5,118.0,plot_style_type,Simple Area,NONE_STR,1.5,1.5,147.0,plot_style_type,Simple Area,NONE_STR,3.5,1.5,230.0,plot_style_type,Simple Area,NONE_STR,4.5,1.5,200.0,plot_style_type,Simple Scatter,NONE_STR,1.0,2.0,0.15601864044243652,NONE_STR,plot_style_type,NONE_STR,NONE_STR,plot_style_type,Simple Area,NONE_STR,1.5,3.5,248.0,plot_style_type,Simple Area,NONE_STR,4.5,3.5,147.0,plot_style_type,Simple Area,NONE_STR,3.5,3.5,53.0,plot_style_type,Simple Area,NONE_STR,2.5,3.5,243.0,plot_style_type,Simple Area,NONE_STR,4.5,2.5,111.0,plot_style_type,Simple Area,NONE_STR,3.5,2.5,230.0,plot_style_type,Simple Area,NONE_STR,1.5,2.5,48.0,plot_style_type,Simple Area,NONE_STR,2.5,2.5,76.0,plot_style_type,Simple Area,NONE_STR,2.5,1.5,118.0,plot_style_type,Simple Area,NONE_STR,1.5,1.5,147.0,plot_style_type,Simple Area,NONE_STR,3.5,1.5,230.0,plot_style_type,Simple Area,NONE_STR,4.5,1.5,200.0,plot_style_type,Simple Scatter,NONE_STR,1.0,2.0,0.15601864044243652,NONE_STR
xmm,40,3.0,2.0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,XY Pair,NONE_STR,,,243.0,plot_data_type,XY Pair,NONE_STR,,,68.0,plot_data_type,XY Pair,NONE_STR,,,8.0,plot_data_type,XY Pair,NONE_STR,,,235.0,plot_data_type,XY Pair,NONE_STR,,,32.0,plot_data_type,XY Pair,NONE_STR,,,215.0,plot_data_type,XY Pair,NONE_STR,,,8.0,plot_data_type,XY Pair,NONE_STR,,,8.0,plot_data_type,XY Pair,NONE_STR,,,38.0,plot_data_type,XY Pair,NONE_STR,,,68.0,plot_data_type,XY Pair,NONE_STR,,,215.0,plot_data_type,XY Pair,NONE_STR,,,154.0,plot_data_type,XY Pair,NONE_STR,1.0,3.0,0.6011150117432088,NONE_STR,plot_data_type,NONE_STR,NONE_STR,plot_data_type,XY Pair,NONE_STR,,,243.0,plot_data_type,XY Pair,NONE_STR,,,68.0,plot_data_type,XY Pair,NONE_STR,,,8.0,plot_data_type,XY Pair,NONE_STR,,,235.0,plot_data_type,XY Pair,NONE_STR,,,32.0,plot_data_type,XY Pair,NONE_STR,,,215.0,plot_data_type,XY Pair,NONE_STR,,,8.0,plot_data_type,XY Pair,NONE_STR,,,8.0,plot_data_type,XY Pair,NONE_STR,,,38.0,plot_data_type,XY Pair,NONE_STR,,,68.0,plot_data_type,XY Pair,NONE_STR,,,215.0,plot_data_type,XY Pair,NONE_STR,,,154.0,plot_data_type,XY Pair,NONE_STR,1.0,3.0,0.6011150117432088,NONE_STR
xscale,linear,4.0,3.0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,2.0,1.0,0.9507143064099162,NONE_STR,plot_columns_per_plot,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,2.0,1.0,0.9507143064099162,NONE_STR
xmin,0.5,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.0,2.0,0.15599452033620265,NONE_STR,plot_plot_columns_count_array,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.0,2.0,0.15599452033620265,NONE_STR
xmax,4.5,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,2.0,3.0,0.7080725777960455,NONE_STR,plot_data_source,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,plot_data_source,Worksheet Columns,NONE_STR,2.0,3.0,0.7080725777960455,NONE_STR
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,3.0,1.0,0.7319939418114051,NONE_STR,plot_polarunits,NONE_STR,NONE_STR,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,,,,plot_polarunits,Standard Deviation,NONE_STR,3.0,1.0,0.7319939418114051,NONE_STR
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,3.0,2.0,0.05808361216819946,NONE_STR,plot_anguleunits,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,,,,plot_anguleunits,Degrees,NONE_STR,3.0,2.0,0.05808361216819946,NONE_STR
ymm,40,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,3.0,3.0,0.020584494295802447,NONE_STR,plot_min_angle_row,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,,,,plot_min_angle_row,0,NONE_STR,3.0,3.0,0.020584494295802447,NONE_STR
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,4.0,1.0,0.5986584841970366,NONE_STR,plot_max_angle_row,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,,,,plot_max_angle_row,360,NONE_STR,4.0,1.0,0.5986584841970366,NONE_STR
